ts,agent_id,throttle,steer,brake
11303,0,0.6126481890678406,-0.019557474181056023,0.0
11304,0,0.8999999761581421,-0.010628890246152878,0.0
11305,0,0.8999999761581421,0.002265346935018897,0.0
11306,0,0.8999999761581421,0.0038023139350116253,0.0
11307,0,0.8999999761581421,0.005731356795877218,0.0
11308,0,0.8999999761581421,0.007890865206718445,0.0
11309,0,0.8999999761581421,0.012088866904377937,0.0
11310,0,0.8999999761581421,0.012838663533329964,0.0
11311,0,0.8999999761581421,0.016148466616868973,0.0
11312,0,0.8999999761581421,0.014719554223120213,0.0
11313,0,0.8999999761581421,0.013177766464650631,0.0
11314,0,0.8999999761581421,0.012999586760997772,0.0
11315,0,0.8999999761581421,0.013858109712600708,0.0
11316,0,0.8999999761581421,0.013926872052252293,0.0
11317,0,0.8999999761581421,0.013112896122038364,0.0
11318,0,0.8999999761581421,0.014729666523635387,0.0
11319,0,0.8999999761581421,0.015606612898409367,0.0
11320,0,0.8999999761581421,0.015685267746448517,0.0
11321,0,0.8999999761581421,0.01506319921463728,0.0
11322,0,0.8999999761581421,0.015719670802354813,0.0
11323,0,0.8999999761581421,0.01630050130188465,0.0
11324,0,0.8999999761581421,0.01493445597589016,0.0
11325,0,0.8999999761581421,0.016459045931696892,0.0
11326,0,0.8999999761581421,0.016139008104801178,0.0
11327,0,0.8999999761581421,0.01661105267703533,0.0
11328,0,0.8999999761581421,0.017024368047714233,0.0
11329,0,0.8999999761581421,0.017900263890624046,0.0
11330,0,0.8999999761581421,0.01734187826514244,0.0
11331,0,0.8999999761581421,0.01623314432799816,0.0
11332,0,0.8999999761581421,0.01719162054359913,0.0
11333,0,0.8999999761581421,0.01566033810377121,0.0
11334,0,0.8999999761581421,0.01724768802523613,0.0
11335,0,0.8999999761581421,0.017569389194250107,0.0
11336,0,0.8999999761581421,0.017639202997088432,0.0
11337,0,0.8999999761581421,0.018544111400842667,0.0
11338,0,0.8999999761581421,0.017217742279171944,0.0
11339,0,0.8999999761581421,0.017551928758621216,0.0
11340,0,0.8999999761581421,0.018927257508039474,0.0
11341,0,0.8999999761581421,0.017958208918571472,0.0
11342,0,0.8999999761581421,0.019289502874016762,0.0
11343,0,0.8999999761581421,0.01987057738006115,0.0
11344,0,0.8999999761581421,0.020603572949767113,0.0
11345,0,0.8999999761581421,0.02042572572827339,0.0
11346,0,0.8999999761581421,0.020919770002365112,0.0
11347,0,0.8999999761581421,0.02185927890241146,0.0
11348,0,0.8999999761581421,0.019632570445537567,0.0
11349,0,0.8999999761581421,0.021182067692279816,0.0
11350,0,0.8999999761581421,0.022325804457068443,0.0
11351,0,0.8999999761581421,0.02506413869559765,0.0
11352,0,0.8999999761581421,0.020223543047904968,0.0
11353,0,0.8999999761581421,0.021599894389510155,0.0
11354,0,0.8999999761581421,0.021397415548563004,0.0
11355,0,0.8999999761581421,0.01943810097873211,0.0
11356,0,0.8999999761581421,0.020505379885435104,0.0
11357,0,0.8999999761581421,0.021439652889966965,0.0
11358,0,0.8999999761581421,0.0225166454911232,0.0
11359,0,0.8999999761581421,0.022852882742881775,0.0
11360,0,0.8999999761581421,0.0215667262673378,0.0
11361,0,0.8999999761581421,0.020690912380814552,0.0
11362,0,0.8999999761581421,0.020518485456705093,0.0
11363,0,0.8999999761581421,0.020767776295542717,0.0
11364,0,0.8999999761581421,0.02317134290933609,0.0
11365,0,0.8999999761581421,0.021955562755465508,0.0
11366,0,0.8999999761581421,0.020677637308835983,0.0
11367,0,0.8999999761581421,0.02070983313024044,0.0
11368,0,0.8999999761581421,0.02174614928662777,0.0
11369,0,0.8999999761581421,0.020838692784309387,0.0
11370,0,0.8999999761581421,0.021174510940909386,0.0
11371,0,0.8999999761581421,0.01995217055082321,0.0
11372,0,0.8999999761581421,0.0241863951086998,0.0
11373,0,0.8999999761581421,0.021725192666053772,0.0
11374,0,0.8999999761581421,0.023638015612959862,0.0
11375,0,0.8999999761581421,0.023635180667042732,0.0
11376,0,0.8999999761581421,0.021724501624703407,0.0
11377,0,0.8999999761581421,0.02136368118226528,0.0
11378,0,0.8999999761581421,0.02194632776081562,0.0
11379,0,0.8999999761581421,0.02424696460366249,0.0
11380,0,0.8999999761581421,0.020267074927687645,0.0
11381,0,0.8999999761581421,0.023333443328738213,0.0
11382,0,0.8999999761581421,0.02128695137798786,0.0
11383,0,0.8999999761581421,0.021755486726760864,0.0
11384,0,0.8999999761581421,0.02037452906370163,0.0
11385,0,0.8999999761581421,0.021465696394443512,0.0
11386,0,0.8999999761581421,0.02284495159983635,0.0
11387,0,0.8999999761581421,0.02203284576535225,0.0
11388,0,0.8999999761581421,0.021903853863477707,0.0
