ts,agent_id,x,y,z,v
15544410,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
15544411,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
15544412,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
15544413,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
15544414,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
15544415,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
15544416,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
15544417,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
15544418,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.716324496311439e-08
15544419,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.496128333860029e-08
15544420,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.379668373503283e-08
15544421,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.654706539572208e-08
15544422,0,192.36241149902344,-86.26268005371094,-0.041076697409152985,0.00028597169317635425
15544423,0,192.36244201660156,-86.26265716552734,-0.03865550830960274,0.0011582570318995008
15544424,0,192.36241149902344,-86.26264190673828,-0.034043312072753906,0.0004829133708350079
15544425,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013373137429497286
15544426,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.4938361723643926e-05
15544427,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012750957184533765
15544428,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.0001614034636836777
15544429,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.00016981048223967913
15544430,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016475358572175917
15544431,0,192.36244201660156,-86.26264190673828,0.005999984685331583,0.00015354667499991738
15544432,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.0001397358976877007
15544433,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012488819026084798
15544434,0,192.36244201660156,-86.26265716552734,0.016817893832921982,0.00011083830073481303
15544435,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.768734721699858e-05
15544436,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.617295038098608e-05
15544437,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.535315403245958e-05
15544438,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.586705130116306e-05
15544439,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.754383850311581e-05
15544440,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.0267357506536004e-05
15544441,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.367722757722462e-05
15544442,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.867507510999553e-05
15544443,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.3576578424544954e-05
15544444,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.915409438271365e-05
15544445,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5022600094567078e-05
15544446,0,192.36245727539062,-86.2626724243164,0.03187461942434311,2.230544544570226e-05
15544447,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8904594644814513e-05
15544448,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6501792555409837e-05
15544449,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.4151876478046588e-05
15544450,0,192.36245727539062,-86.2626724243164,0.032856862992048264,1.2653235251924776e-05
15544451,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.1122844474205002e-05
