ts,agent_id,throttle,steer,brake
127876,0,0.8999999761581421,7.213737262645736e-05,0.0
127877,0,0.8999999761581421,-0.007551468443125486,0.0
127878,0,0.8999999761581421,-0.009604471735656261,0.0
127879,0,0.8999999761581421,-0.013090529479086399,0.0
127880,0,0.8999999761581421,-0.018838267773389816,0.0
127881,0,0.8999999761581421,-0.004980967380106449,0.0
127882,0,0.8999999761581421,0.0026820090133696795,0.0
127883,0,0.8999999761581421,-0.000734154658857733,0.0
127884,0,0.8999999761581421,-0.0004029308329336345,0.0
127885,0,0.8999999761581421,0.001100305002182722,0.0
127886,0,0.8999999761581421,-0.0015673055313527584,0.0
127887,0,0.8999999761581421,0.0006756896618753672,0.0
127888,0,0.8999999761581421,0.001244127401150763,0.0
127889,0,0.8999999761581421,0.0019901427440345287,0.0
127890,0,0.8999999761581421,0.0023074031341820955,0.0
127891,0,0.8999999761581421,0.0011567563051357865,0.0
127892,0,0.8999999761581421,0.0012515815906226635,0.0
127893,0,0.8999999761581421,0.001032529748044908,0.0
127894,0,0.8999999761581421,0.0007506501860916615,0.0
127895,0,0.8999999761581421,-0.0007244307198561728,0.0
127896,0,0.8999999761581421,-0.0022374973632395267,0.0
127897,0,0.8999999761581421,-0.002557384083047509,0.0
127898,0,0.8999999761581421,-0.0019129435531795025,0.0
127899,0,0.8999999761581421,-0.0015146943042054772,0.0
127900,0,0.8999999761581421,-0.003035988425835967,0.0
127901,0,0.8999999761581421,-0.0026588928885757923,0.0
127902,0,0.8999999761581421,-0.002602719236165285,0.0
127903,0,0.8999999761581421,-0.000800823443569243,0.0
127904,0,0.8999999761581421,-0.0024268515408039093,0.0
127905,0,0.8999999761581421,-0.0025471330154687166,0.0
127906,0,0.8999999761581421,-0.00186813878826797,0.0
127907,0,0.8999999761581421,-0.002148050582036376,0.0
127908,0,0.8999999761581421,-0.002037810394540429,0.0
127909,0,0.8999999761581421,-0.002245943760499358,0.0
127910,0,0.8999999761581421,-0.0026370009873062372,0.0
127911,0,0.8999999761581421,-0.001890155952423811,0.0
