,weather,scenario,status
151,snow-noon,ghost_cutin,Completed
152,clear-noon,ghost_cutin,Completed
153,cloudy-noon,ghost_cutin,Completed
154,rain-noon,ghost_cutin,Completed
155,snow-noon,ghost_cutin,Completed
156,clear-noon,ghost_cutin,Completed
157,cloudy-noon,ghost_cutin,Completed
158,rain-noon,ghost_cutin,Completed
159,snow-noon,ghost_cutin,Failed -- Accident
160,clear-noon,ghost_cutin,Completed
161,cloudy-noon,ghost_cutin,Completed
162,rain-noon,ghost_cutin,Completed
163,snow-noon,ghost_cutin,Completed
164,clear-noon,ghost_cutin,Completed
165,cloudy-noon,ghost_cutin,Completed
166,rain-noon,ghost_cutin,Completed
167,snow-noon,ghost_cutin,Completed
168,clear-noon,ghost_cutin,Completed
169,cloudy-noon,ghost_cutin,Completed
170,rain-noon,ghost_cutin,Completed
171,snow-noon,ghost_cutin,Completed
172,clear-noon,ghost_cutin,Completed
173,cloudy-noon,ghost_cutin,Completed
174,rain-noon,ghost_cutin,Completed
175,snow-noon,ghost_cutin,Completed
176,clear-noon,ghost_cutin,Completed
177,cloudy-noon,ghost_cutin,Completed
178,rain-noon,ghost_cutin,Failed -- Accident
179,snow-noon,ghost_cutin,Completed
180,clear-noon,ghost_cutin,Completed
181,cloudy-noon,ghost_cutin,Completed
182,rain-noon,ghost_cutin,Completed
183,snow-noon,ghost_cutin,Completed
184,clear-noon,ghost_cutin,Completed
185,cloudy-noon,ghost_cutin,Completed
186,rain-noon,ghost_cutin,Failed -- Accident
187,snow-noon,ghost_cutin,Completed
188,clear-noon,ghost_cutin,Completed
189,cloudy-noon,ghost_cutin,Completed
190,rain-noon,ghost_cutin,Completed
191,snow-noon,ghost_cutin,Completed
192,clear-noon,ghost_cutin,Completed
193,cloudy-noon,ghost_cutin,Completed
194,rain-noon,ghost_cutin,Failed -- Accident
195,snow-noon,ghost_cutin,Completed
196,clear-noon,ghost_cutin,Completed
197,cloudy-noon,ghost_cutin,Completed
198,rain-noon,ghost_cutin,Completed
199,snow-noon,ghost_cutin,Completed
200,clear-noon,ghost_cutin,Completed
201,cloudy-noon,ghost_cutin,Completed
202,rain-noon,ghost_cutin,Failed -- Accident
203,snow-noon,ghost_cutin,Completed
204,clear-noon,ghost_cutin,Completed
205,cloudy-noon,ghost_cutin,Completed
206,rain-noon,ghost_cutin,Completed
207,snow-noon,ghost_cutin,Completed
208,clear-noon,ghost_cutin,Completed
209,cloudy-noon,ghost_cutin,Completed
210,rain-noon,ghost_cutin,Completed
211,snow-noon,ghost_cutin,Completed
212,clear-noon,ghost_cutin,Completed
213,cloudy-noon,ghost_cutin,Completed
214,rain-noon,ghost_cutin,Completed
215,snow-noon,ghost_cutin,Failed -- Accident
216,clear-noon,ghost_cutin,Completed
217,cloudy-noon,ghost_cutin,Completed
218,rain-noon,ghost_cutin,Failed -- Accident
219,snow-noon,ghost_cutin,Failed -- Accident
220,clear-noon,ghost_cutin,Completed
221,cloudy-noon,ghost_cutin,Completed
222,rain-noon,ghost_cutin,Completed
223,snow-noon,ghost_cutin,Completed
224,clear-noon,ghost_cutin,Completed
225,cloudy-noon,ghost_cutin,Failed -- Simulator crashed
226,rain-noon,ghost_cutin,Completed
227,snow-noon,ghost_cutin,Completed
228,clear-noon,ghost_cutin,Completed
