ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
15543489,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
15543490,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
15543491,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
15543492,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
15543493,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
15543494,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
15543495,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
15543496,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
15543497,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
15543498,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
15543499,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
15543500,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
15543501,0,5.582104629980321,195.56744384765625,-90.83265686035156,0.013436851091682911
15543502,0,5.582061392693935,195.56744384765625,-90.83265686035156,0.011098288930952549
15543503,0,5.5820373134467065,195.56744384765625,-90.83265686035156,0.009217948652803898
15543504,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
15543505,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
15543506,0,5.581915910488065,195.56744384765625,-90.83265686035156,0.0055175782181322575
15543507,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
15543508,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
15543509,0,5.581852601613148,195.56744384765625,-90.83265686035156,0.003602867014706135
15543510,0,5.581852851883691,195.56744384765625,-90.83265686035156,0.003198814345523715
15543511,0,5.58184434217906,195.56744384765625,-90.83265686035156,0.002874908270314336
15543512,0,5.5818506650832616,195.56744384765625,-90.83265686035156,0.0026153563521802425
15543513,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
15543514,0,5.5818513325650745,195.56744384765625,-90.83265686035156,0.0022409819066524506
15543515,0,5.5818593685408135,195.56744384765625,-90.83265686035156,0.0021076963748782873
15543516,0,5.581867010774956,195.56744384765625,-90.83265686035156,0.0020010375883430243
15543517,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
15543518,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
15543519,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
15543520,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
15543521,0,5.581888894137341,195.56744384765625,-90.83265686035156,0.0017144393641501665
15543522,0,5.581892508051992,195.56744384765625,-90.83265686035156,0.0016865539364516735
15543523,0,5.581895574108779,195.56744384765625,-90.83265686035156,0.0016643141862004995
15543524,0,5.581898159364009,195.56744384765625,-90.83265686035156,0.0016465758671984076
15543525,0,5.581900327548116,195.56744384765625,-90.83265686035156,0.001632423372939229
15543526,0,5.58190213779374,195.56744384765625,-90.83265686035156,0.0016210937174037099
15543527,0,5.581903642873353,195.56744384765625,-90.83265686035156,0.0016120909713208675
15543528,0,5.581904890803503,195.56744384765625,-90.83265686035156,0.0016048812540248036
15543529,0,5.581905921641135,195.56744384765625,-90.83265686035156,0.0015991592081263661
15543530,0,5.581906771538084,195.56744384765625,-90.83265686035156,0.0015946197090670466
15543531,0,5.581907470548025,195.56744384765625,-90.83265686035156,0.0015909957000985742
15543532,0,5.581908044248746,195.56744384765625,-90.83265686035156,0.001588096609339118
15543533,0,5.581908514650709,195.56744384765625,-90.83265686035156,0.0015857695834711194
15543534,0,5.581908899371498,195.56744384765625,-90.83265686035156,0.0015839386032894254
15543535,0,5.58190921353338,195.56744384765625,-90.83265686035156,0.0015824889997020364
15543536,0,5.581903223963587,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543537,0,5.581903252948857,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543538,0,5.58190332903052,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543539,0,5.581903418670491,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543540,0,5.581903513149973,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543541,0,5.581903606356219,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543542,0,5.581903695022975,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543543,0,5.581903776753006,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543544,0,5.581903850875037,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543545,0,5.581903916696256,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543546,0,5.581903975105125,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543547,0,5.581904026094546,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543548,0,5.5819040698721105,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543549,0,5.581904107523169,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543550,0,5.58190413994218,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543551,0,5.581904167532778,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543552,0,5.581904190742026,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543553,0,5.581904210017552,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543554,0,5.581904210017552,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543555,0,5.581904218789548,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543556,0,5.58190422644934,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543557,0,5.581904234794168,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543558,0,5.581904242882593,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543559,0,5.581904250778779,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543560,0,5.581904258225899,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543561,0,5.581904264795878,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543562,0,5.581904270724041,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543563,0,5.581904270724041,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543564,0,5.581904280590468,195.56744384765625,-90.83265686035156,0.0015813064528629184
15543565,0,5.581904280590468,195.56744384765625,-90.83265686035156,0.0015813064528629184
