ts,agent_id,x,y,z,v
132273,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
132274,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
132275,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
132276,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
132277,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
132278,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
132279,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
132280,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
132281,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.55674467801351e-08
132282,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.5106383426034e-08
132283,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.075470516810569e-08
132284,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.366507074082897e-08
132285,0,192.36241149902344,-86.26268005371094,-0.04107673466205597,0.0002855410760922249
132286,0,192.36244201660156,-86.26265716552734,-0.03865550830960274,0.0011520196704750706
132287,0,192.36241149902344,-86.26264190673828,-0.034043312072753906,0.0004788477434729109
132288,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.000131523979864311
132289,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.537316193874343e-05
132290,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012708072199517438
132291,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.000159915550557964
132292,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.00016819571742751835
132293,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016276858884984834
132294,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015115271131032677
132295,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.00013720187493468803
132296,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012234446326298148
132297,0,192.36244201660156,-86.26265716552734,0.016817893832921982,0.00010876868884042836
132298,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.591573860205101e-05
132299,0,192.36245727539062,-86.26266479492188,0.021795310080051422,8.45009779523155e-05
132300,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.368963780302825e-05
132301,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.426389465581188e-05
132302,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.6272187108646074e-05
132303,0,192.36245727539062,-86.2626724243164,0.02796676568686962,4.937357218723982e-05
132304,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.304180015450423e-05
132305,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.780377359453501e-05
132306,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.289880921212014e-05
132307,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.88258504167431e-05
132308,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5043185497603908e-05
132309,0,192.36245727539062,-86.2626724243164,0.03187461942434311,2.174510140966028e-05
132310,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8549785241838236e-05
132311,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6248283422803704e-05
132312,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.3847051315307431e-05
132313,0,192.36245727539062,-86.2626724243164,0.032856862992048264,1.2308063191457742e-05
132314,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.055595747420727e-05
132315,0,192.36245727539062,-86.2626724243164,0.033124085515737534,9.188510124764637e-06
132316,0,192.36245727539062,-86.2626724243164,0.03322257846593857,7.830593978735519e-06
132317,0,192.36245727539062,-86.2626724243164,0.03330310806632042,6.884149191741149e-06
132318,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.595980761311204e-06
132319,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.3219235982406015e-06
132320,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.827299438872764e-06
132321,0,192.36245727539062,-86.26268005371094,0.0334714874625206,4.074484866932065e-07
132322,0,192.36245727539062,-86.26268005371094,0.03348476439714432,3.3937650979381106e-07
132323,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.8107133120233126e-07
132324,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.1387377180378234e-07
132325,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.482378773516686e-07
132326,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.6358906962824407e-07
132327,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.5267566371971304e-07
132328,0,192.36245727539062,-86.26268005371094,0.03357597440481186,2.8842260925709914e-07
132329,0,192.36245727539062,-86.26268005371094,0.03358745574951172,2.1456467631767172e-07
132330,0,192.36245727539062,-86.26268005371094,0.033597640693187714,1.9955850577495526e-07
132331,0,192.36245727539062,-86.26268005371094,0.033606529235839844,2.434001205386515e-07
132332,0,192.36245727539062,-86.26268005371094,0.03361419588327408,1.3607364345492883e-07
132333,0,192.36245727539062,-86.26268005371094,0.03362075611948967,1.2829410927095014e-07
132334,0,192.36245727539062,-86.26268005371094,0.03362640365958214,2.7106820565950097e-07
132335,0,192.36245727539062,-86.26268005371094,0.033631209284067154,8.146919248691324e-08
132336,0,192.36245727539062,-86.26268005371094,0.033635213971138,1.1568841715957933e-07
132337,0,192.36245727539062,-86.26268005371094,0.0336386114358902,4.525310577558397e-08
132338,0,192.36245727539062,-86.26268005371094,0.0336386114358902,1.3252092410098606e-07
132339,0,192.36245727539062,-86.26268005371094,0.03364013507962227,7.167175187671502e-08
132340,0,192.36245727539062,-86.26268005371094,0.0336415097117424,3.122127233909789e-08
132341,0,192.36245727539062,-86.26268005371094,0.0336429588496685,1.1924506806510683e-07
132342,0,192.36245727539062,-86.26268005371094,0.03364437073469162,2.4258556620494822e-08
132343,0,192.36245727539062,-86.26268005371094,0.03364574536681175,1.084914592875793e-07
132344,0,192.36245727539062,-86.26268005371094,0.033647000789642334,1.832956164081455e-08
132345,0,192.36245727539062,-86.26268005371094,0.03364814817905426,7.744742201789742e-08
132346,0,192.36245727539062,-86.26268005371094,0.033649176359176636,4.280230289822488e-08
132347,0,192.36245727539062,-86.26268005371094,0.033649176359176636,3.17003645402684e-08
132348,0,192.36245727539062,-86.26268005371094,0.03365089371800423,1.0767639276217218e-07
132349,0,192.36245727539062,-86.26268005371094,0.03365089371800423,7.59357713423485e-08
132350,0,192.36245727539062,-86.26268005371094,0.03365219011902809,2.3552054587916425e-08
132351,0,192.36245727539062,-86.26268005371094,0.03365219011902809,2.3411896438826592e-08
132352,0,192.36245727539062,-86.26268005371094,0.03365219011902809,2.8604268797455337e-08
132353,0,192.36245727539062,-86.26268005371094,0.033653486520051956,7.387376484267152e-08
132354,0,192.36245727539062,-86.26268005371094,0.033653486520051956,2.1014158956798418e-08
132355,0,192.36245727539062,-86.26268005371094,0.033653486520051956,5.566157005970027e-08
132356,0,192.36245727539062,-86.26268005371094,0.033653486520051956,9.900221047964605e-08
132357,0,192.36245727539062,-86.26268005371094,0.033653486520051956,4.867766531033392e-09
132358,0,192.36245727539062,-86.26268005371094,0.033653486520051956,7.1770457752047235e-09
132359,0,192.36245727539062,-86.26268005371094,0.033653486520051956,6.2100993227540314e-09
132360,0,192.36245727539062,-86.26268005371094,0.033653486520051956,5.762065645045157e-09
132361,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.476380873167903e-09
132362,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.945419876568691e-09
132363,0,192.36245727539062,-86.26268005371094,0.03365451842546463,2.625735077189091e-09
132364,0,192.36245727539062,-86.26268005371094,0.03365451842546463,1.9061945739127565e-09
132365,0,192.36245727539062,-86.26268005371094,0.03365451842546463,7.374855165111873e-08
132366,0,192.36245727539062,-86.26268005371094,0.03365451842546463,1.699941884474199e-09
132367,0,192.36245727539062,-86.26266479492188,0.03365615755319595,0.0013615150256438666
132368,0,192.36245727539062,-86.25653839111328,0.03353561460971832,0.3201376644563562
132369,0,192.36245727539062,-86.24253845214844,0.03333110734820366,0.6302767472541536
132370,0,192.36245727539062,-86.2209243774414,0.03309108689427376,0.9310146060663865
132371,0,192.36241149902344,-86.1919937133789,0.03284580260515213,1.2219266858952589
132372,0,192.36231994628906,-86.1559829711914,0.03261314332485199,1.5026990721373183
132373,0,192.3622589111328,-86.1131591796875,0.03240345045924187,1.7732168484049724
132374,0,192.3621368408203,-86.06378936767578,0.03222133591771126,2.0333300373686827
132375,0,192.3620147705078,-86.00814056396484,0.0320684053003788,2.283081199842401
132376,0,192.36178588867188,-85.94646453857422,0.03194419667124748,2.522487528473542
132377,0,192.361572265625,-85.87901306152344,0.031847115606069565,2.751840389482963
132378,0,192.3614044189453,-85.80604553222656,0.031774863600730896,2.9712772242823458
132379,0,192.361083984375,-85.727783203125,0.03172492980957031,3.1809602406202204
132380,0,192.36073303222656,-85.64446258544922,0.03169429674744606,3.3814507244630385
132381,0,192.3603515625,-85.55632781982422,0.031680524349212646,3.5729267773049744
132382,0,192.35980224609375,-85.46356201171875,0.031681403517723083,3.7558224261096353
132383,0,192.3591766357422,-85.36639404296875,0.03169437497854233,3.930625019913388
132384,0,192.35842895507812,-85.26500701904297,0.03171711042523384,4.097744128164598
132385,0,192.35765075683594,-85.15959167480469,0.031747933477163315,4.257923641541347
132386,0,192.3568878173828,-85.05027770996094,0.03178493306040764,4.411649254605928
132387,0,192.35601806640625,-84.93726348876953,0.03182678297162056,4.559186535770233
132388,0,192.35507202148438,-84.8206558227539,0.03187202289700508,4.700973254623732
132389,0,192.35401916503906,-84.70061492919922,0.03191997483372688,4.837247319286934
132390,0,192.35289001464844,-84.57726287841797,0.03196929767727852,4.968377475093915
132391,0,192.35191345214844,-84.45072174072266,0.03216712921857834,5.095537194351949
132392,0,192.35118103027344,-84.32108306884766,0.03241893649101257,5.217655984066839
132393,0,192.35061645507812,-84.18846130371094,0.03258182480931282,5.335629002897062
132394,0,192.35018920898438,-84.052978515625,0.032687149941921234,5.44962326491572
132395,0,192.3498992919922,-83.9146957397461,0.03275566175580025,5.55990181353742
132396,0,192.34963989257812,-83.77372741699219,0.032801054418087006,5.666766136451994
132397,0,192.34950256347656,-83.63014221191406,0.032832372933626175,5.77038764966318
132398,0,192.34950256347656,-83.4840316772461,0.032855529338121414,5.871052896179253
132399,0,192.349609375,-83.33544921875,0.03287414461374283,5.968961061590832
132400,0,192.34982299804688,-83.1844711303711,0.032890282571315765,6.064334714198184
132401,0,192.35015869140625,-83.0311508178711,0.032905347645282745,6.157312481348304
132402,0,192.35060119628906,-82.87553405761719,0.03292018920183182,6.248148297551753
132403,0,192.35113525390625,-82.71768188476562,0.032935064285993576,6.336949619934301
132404,0,192.35183715820312,-82.55766296386719,0.032950323075056076,6.423797262852219
132405,0,192.35263061523438,-82.39549255371094,0.03296573460102081,6.508990337621831
132406,0,192.353515625,-82.23123168945312,0.03298129886388779,6.592556594465414
132407,0,192.35450744628906,-82.06490325927734,0.03299694135785103,6.674588036920167
132408,0,192.35557556152344,-81.89654541015625,0.03301254287362099,6.755235594270898
132409,0,192.3567657470703,-81.7261962890625,0.03302791342139244,6.83457604260655
132410,0,192.35791015625,-81.55388641357422,0.033043213188648224,6.912693468530208
132411,0,192.359130859375,-81.37964630126953,0.03305808827280998,6.989661178991255
132412,0,192.36044311523438,-81.20350646972656,0.03307231888175011,7.0655513846568105
132413,0,192.3618927001953,-81.02548217773438,0.033086393028497696,7.140426525206088
132414,0,192.36337280273438,-80.84559631347656,0.03309989720582962,7.214371890884471
132415,0,192.36497497558594,-80.66388702392578,0.03311271592974663,7.287408031971996
132416,0,192.36634826660156,-80.48037719726562,0.033125534653663635,7.358806643356392
132417,0,192.3675079345703,-80.295166015625,0.03313968703150749,7.425162442703901
132418,0,192.36846923828125,-80.10843658447266,0.033157385885715485,7.484494270151119
132419,0,192.3694305419922,-79.9203872680664,0.03318061679601669,7.534773863578361
132420,0,192.3704071044922,-79.73126220703125,0.03321037068963051,7.5759969724651635
132421,0,192.37158203125,-79.54127502441406,0.03324657306075096,7.608323209917873
